VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,PU_Borough,PU_Zone,PU_service_zone,DO_Borough,DO_Zone,DO_service_zone,trip_id
1,2024-01-01 00:09:24.000000,2024-01-01 00:22:58.000000,2.0,1.9,1.0,N,113,170,1,14.2,3.5,0.5,3.0,0.0,1.0,22.2,2.5,0.0,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,Murray Hill,Yellow Zone,279
1,2024-01-01 00:40:58.000000,2024-01-01 00:58:25.000000,1.0,1.6,1.0,N,234,211,1,16.3,3.5,0.5,4.25,0.0,1.0,25.55,2.5,0.0,Manhattan,Union Sq,Yellow Zone,Manhattan,SoHo,Yellow Zone,280
1,2024-01-01 00:59:45.000000,2024-01-01 01:05:09.000000,1.0,1.0,1.0,N,211,158,1,7.2,3.5,0.5,3.0,0.0,1.0,15.2,2.5,0.0,Manhattan,SoHo,Yellow Zone,Manhattan,Meatpacking/West Village West,Yellow Zone,281
2,2024-01-01 00:37:28.000000,2024-01-01 00:48:30.000000,1.0,1.34,1.0,N,107,161,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0,Manhattan,Gramercy,Yellow Zone,Manhattan,Midtown Center,Yellow Zone,282
2,2024-01-01 00:54:54.000000,2024-01-01 01:00:57.000000,1.0,1.18,1.0,N,161,237,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0,Manhattan,Midtown Center,Yellow Zone,Manhattan,Upper East Side South,Yellow Zone,283
2,2024-01-01 00:18:05.000000,2024-01-01 00:22:21.000000,1.0,0.55,1.0,N,237,141,1,5.8,1.0,0.5,2.16,0.0,1.0,12.96,2.5,0.0,Manhattan,Upper East Side South,Yellow Zone,Manhattan,Lenox Hill West,Yellow Zone,284
2,2024-01-01 00:24:34.000000,2024-01-01 00:36:37.000000,1.0,2.03,1.0,N,141,239,1,13.5,1.0,0.5,2.78,0.0,1.0,21.28,2.5,0.0,Manhattan,Lenox Hill West,Yellow Zone,Manhattan,Upper West Side South,Yellow Zone,285
2,2024-01-01 00:39:46.000000,2024-01-01 01:16:59.000000,1.0,10.95,1.0,N,238,182,2,49.9,1.0,0.5,0.0,0.0,1.0,54.9,2.5,0.0,Manhattan,Upper West Side North,Yellow Zone,Bronx,Parkchester,Boro Zone,286
2,2024-01-01 00:00:42.000000,2024-01-01 00:06:17.000000,1.0,1.06,1.0,N,164,161,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0,Manhattan,Midtown South,Yellow Zone,Manhattan,Midtown Center,Yellow Zone,287
2,2024-01-01 00:27:08.000000,2024-01-01 00:44:46.000000,1.0,2.6,1.0,N,249,233,1,17.0,1.0,0.5,4.4,0.0,1.0,26.4,2.5,0.0,Manhattan,West Village,Yellow Zone,Manhattan,UN/Turtle Bay South,Yellow Zone,288
2,2024-01-01 00:47:04.000000,2024-01-01 00:52:38.000000,1.0,0.9,1.0,N,233,141,2,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0,Manhattan,UN/Turtle Bay South,Yellow Zone,Manhattan,Lenox Hill West,Yellow Zone,289
2,2024-01-01 00:59:21.000000,2024-01-01 01:12:55.000000,1.0,1.22,1.0,N,237,143,1,12.8,1.0,0.5,3.56,0.0,1.0,21.36,2.5,0.0,Manhattan,Upper East Side South,Yellow Zone,Manhattan,Lincoln Square West,Yellow Zone,290
2,2024-01-01 00:48:21.000000,2024-01-01 01:27:40.000000,3.0,16.0,1.0,N,132,165,1,66.0,1.0,0.5,9.0,0.0,1.0,79.25,0.0,1.75,Queens,JFK Airport,Airports,Brooklyn,Midwood,Boro Zone,291
2,2024-01-01 00:19:45.000000,2024-01-01 00:52:08.000000,1.0,4.6,1.0,N,239,164,1,30.3,1.0,0.5,5.0,0.0,1.0,40.3,2.5,0.0,Manhattan,Upper West Side South,Yellow Zone,Manhattan,Midtown South,Yellow Zone,292
2,2024-01-01 00:55:59.000000,2024-01-01 01:07:25.000000,1.0,1.3,1.0,N,90,246,1,11.4,1.0,0.5,1.64,0.0,1.0,18.04,2.5,0.0,Manhattan,Flatiron,Yellow Zone,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,293
2,2024-01-01 00:11:42.000000,2024-01-01 00:21:26.000000,1.0,2.78,1.0,N,166,236,1,14.9,1.0,0.5,3.0,0.0,1.0,22.9,2.5,0.0,Manhattan,Morningside Heights,Boro Zone,Manhattan,Upper East Side North,Yellow Zone,294
2,2024-01-01 00:23:43.000000,2024-01-01 00:29:10.000000,1.0,1.62,1.0,N,236,151,1,9.3,1.0,0.5,2.5,0.0,1.0,16.8,2.5,0.0,Manhattan,Upper East Side North,Yellow Zone,Manhattan,Manhattan Valley,Yellow Zone,295
2,2024-01-01 00:33:33.000000,2024-01-01 00:48:41.000000,2.0,2.79,1.0,N,239,162,1,17.0,1.0,0.5,4.4,0.0,1.0,26.4,2.5,0.0,Manhattan,Upper West Side South,Yellow Zone,Manhattan,Midtown East,Yellow Zone,296
2,2024-01-01 00:51:26.000000,2024-01-01 01:15:23.000000,2.0,6.47,1.0,N,162,69,2,30.3,1.0,0.5,0.0,0.0,1.0,35.3,2.5,0.0,Manhattan,Midtown East,Yellow Zone,Bronx,East Concourse/Concourse Village,Boro Zone,297
1,2024-01-01 00:46:06.000000,2024-01-01 01:01:30.000000,2.0,1.4,1.0,N,249,144,1,14.2,3.5,0.5,7.0,0.0,1.0,26.2,2.5,0.0,Manhattan,West Village,Yellow Zone,Manhattan,Little Italy/NoLiTa,Yellow Zone,298
2,2024-01-01 00:05:14.000000,2024-01-01 00:13:36.000000,1.0,1.44,1.0,N,90,79,1,10.0,1.0,0.5,3.75,0.0,1.0,18.75,2.5,0.0,Manhattan,Flatiron,Yellow Zone,Manhattan,East Village,Yellow Zone,299
2,2024-01-01 00:14:36.000000,2024-01-01 00:19:20.000000,1.0,0.69,1.0,N,224,4,2,6.5,1.0,0.5,0.0,0.0,1.0,11.5,2.5,0.0,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,Manhattan,Alphabet City,Yellow Zone,300
